gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3043072125	StillImage	image/jpeg	http://herbarium.bioenv.gu.se/web/images/GB-0160204.jpg											
3037038568	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405466&method=europeana	http://www.jacq.org/image.php?filename=1405466&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038512	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405505&method=europeana	http://www.jacq.org/image.php?filename=1405505&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038465	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405489&method=europeana	http://www.jacq.org/image.php?filename=1405489&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038462	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405470&method=europeana	http://www.jacq.org/image.php?filename=1405470&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038460	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405473&method=europeana	http://www.jacq.org/image.php?filename=1405473&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038451	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405463&method=europeana	http://www.jacq.org/image.php?filename=1405463&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038447	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405459&method=europeana	http://www.jacq.org/image.php?filename=1405459&method=show									http://creativecommons.org/licenses/by/4.0/	
3037038436	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=1405472&method=europeana	http://www.jacq.org/image.php?filename=1405472&method=show									http://creativecommons.org/licenses/by/4.0/	
3029004484	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106883&method=europeana	http://www.jacq.org/image.php?filename=106883&method=show									http://creativecommons.org/licenses/by/4.0/	
3029004483	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106884&method=europeana	http://www.jacq.org/image.php?filename=106884&method=show									http://creativecommons.org/licenses/by/4.0/	
3029004233	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=106880&method=europeana	http://www.jacq.org/image.php?filename=106880&method=show									http://creativecommons.org/licenses/by/4.0/	
3028991894	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=114166&method=europeana	http://www.jacq.org/image.php?filename=114166&method=show									http://creativecommons.org/licenses/by/4.0/	
3028991889	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=114164&method=europeana	http://www.jacq.org/image.php?filename=114164&method=show									http://creativecommons.org/licenses/by/4.0/	
3028991886	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=114167&method=europeana	http://www.jacq.org/image.php?filename=114167&method=show									http://creativecommons.org/licenses/by/4.0/	
3028991874	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=114158&method=europeana	http://www.jacq.org/image.php?filename=114158&method=show									http://creativecommons.org/licenses/by/4.0/	
3028990407	StillImage	image/jpeg	http://www.jacq.org/image.php?filename=114168&method=europeana	http://www.jacq.org/image.php?filename=114168&method=show									http://creativecommons.org/licenses/by/4.0/	
2989908213	StillImage	image/jpeg	https://bisque.cyverse.org/image_service/image/00-aCjUXUd4Tjfckpwfsbd3BK/resize:4000/format:jpeg											
2981282905	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0166/M-0166076_20111215_083929.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0166/M-0166076_20111215_083929.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280570	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171735_20111209_153222.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171735_20111209_153222.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280474	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0090/M-0090346_20120321_092102.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0090/M-0090346_20120321_092102.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280286	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171797_20111209_140907.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171797_20111209_140907.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981280128	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165972_20111214_101324.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165972_20111214_101324.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981278327	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165936_20111214_111624.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165936_20111214_111624.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981276472	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171882_20111209_171039.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171882_20111209_171039.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981274702	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171935_20111215_100223.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171935_20111215_100223.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981273090	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171825_20111209_155315.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171825_20111209_155315.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981272245	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171885_20111209_171003.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171885_20111209_171003.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981267872	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171883_20111209_165503.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171883_20111209_165503.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981264540	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171933_20111215_100452.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171933_20111215_100452.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981264456	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0165/M-0165935_20111214_111505.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0165/M-0165935_20111214_111505.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981263293	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171737_20111209_153037.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171737_20111209_153037.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981262325	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0166/M-0166075_20111215_083832.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0166/M-0166075_20111215_083832.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981260336	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171884_20111209_165420.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171884_20111209_165420.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981258215	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0171/M-0171736_20111209_153125.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0171/M-0171736_20111209_153125.html									http://creativecommons.org/licenses/by-sa/4.0/	
2981257887	StillImage	image/jpeg	http://pictures.snsb.info/BSMvplantscoll/web/M-0124/M-0124264_20071126_133155.jpg	http://zoomview.snsb.info/BSMvplantscoll/M-0124/M-0124264_20071126_133155.html									http://creativecommons.org/licenses/by-sa/4.0/	
